Crop_Type,SOC,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint
Corn,1.83,87.0,35.1,50.6,6.77,Urea,287.6,16.9,1030.6,55.1,1022.4
Vegetables,1.01,82.2,43.1,93.2,5.86,Organic,107.1,33.2,512.3,58.7,390.7
Wheat,1.55,59.8,22.3,76.0,6.43,Urea,197.4,18.6,988.0,72.6,631.9
Soybeans,1.29,68.5,25.7,85.4,5.45,Organic,2.8,23.5,824.1,51.0,251.9
Wheat,1.87,98.0,40.3,19.6,6.88,Ammonium Nitrate,168.9,24.3,723.7,61.8,676.8
Wheat,1.61,101.7,63.4,71.6,6.22,Urea,171.1,19.7,413.6,75.7,738.9
Wheat,0.9,46.3,56.4,81.8,6.1,Organic,154.9,11.9,896.1,47.9,284.3
Soybeans,3.82,36.7,43.7,99.0,6.38,Organic,29.8,24.5,863.5,59.0,-63.0
Corn,3.2,56.8,37.3,35.7,6.43,Urea,258.2,19.6,556.1,51.5,722.8
Corn,1.58,101.1,56.0,89.1,7.03,Urea,260.0,24.1,291.1,55.7,912.6
Corn,2.42,105.4,46.9,97.9,6.81,Ammonium Nitrate,436.3,22.9,274.4,79.2,1546.2
Corn,2.53,51.9,5.0,24.7,6.29,Urea,373.6,24.9,761.1,81.9,1132.0
Vegetables,3.15,82.7,19.2,74.6,6.93,Urea,100.3,31.6,957.3,68.1,408.8
Corn,1.55,120.9,40.1,77.4,6.68,Urea,309.6,20.7,1497.5,71.4,1084.5
Vegetables,3.07,85.4,8.2,58.5,6.1,Urea,280.5,21.1,834.2,71.1,784.1
Rice,1.76,110.5,21.5,55.2,6.31,Urea,298.6,14.8,281.1,56.9,1717.0
Corn,1.13,100.0,24.5,78.4,6.3,Ammonium Nitrate,244.1,22.5,777.6,67.9,1129.9
Soybeans,2.78,52.2,31.2,52.7,6.75,Organic,26.2,25.6,1288.0,49.5,70.3
Wheat,3.23,70.3,30.7,60.7,6.14,Urea,263.7,21.0,611.0,53.5,650.5
Wheat,4.27,75.9,30.7,81.2,6.13,Urea,262.8,25.7,1241.5,64.0,639.9
Wheat,1.24,77.6,47.4,100.1,7.78,Urea,171.2,22.6,911.5,52.3,720.9
Soybeans,2.76,97.9,31.0,75.8,7.06,NPK_15-15-15,49.7,16.7,1076.4,49.7,155.2
Corn,1.87,85.2,29.2,67.7,5.87,Urea,181.6,25.1,1500.6,56.5,818.0
Vegetables,2.83,10.0,14.8,54.7,6.8,NPK_15-15-15,118.6,22.4,207.0,78.8,264.0
Vegetables,1.02,42.2,50.4,44.8,6.48,Organic,223.4,24.1,1163.8,83.7,425.8
Wheat,1.19,20.3,24.9,87.2,6.67,NPK_15-15-15,264.2,20.6,816.9,64.6,514.2
Corn,1.58,79.4,18.7,61.9,6.5,Urea,271.0,20.1,517.8,72.0,1005.3
Wheat,2.26,81.0,38.2,88.0,7.23,Urea,109.9,24.3,814.8,58.2,454.4
Corn,1.69,82.1,23.5,58.4,6.64,Urea,309.0,22.3,1441.8,40.2,1042.9
Corn,2.73,51.0,27.1,52.0,6.36,Urea,196.5,32.5,1317.2,54.3,733.6
Rice,3.02,91.9,38.9,73.4,7.13,Urea,223.3,27.7,200.0,61.3,1496.0
Wheat,2.68,92.9,30.1,63.5,6.56,Urea,228.2,26.3,580.6,66.7,657.2
Vegetables,3.5,43.6,69.7,40.9,6.49,NPK_15-15-15,184.8,22.6,1180.0,63.8,338.5
Soybeans,2.53,38.3,33.9,101.3,6.62,None,0.0,13.0,842.4,61.6,-33.2
Soybeans,1.23,75.0,44.3,52.5,6.33,Organic,52.2,19.3,843.7,58.1,229.7
Rice,3.29,119.8,5.9,83.6,6.41,Urea,219.9,20.1,301.1,69.1,1491.5
Rice,1.72,117.5,22.1,81.8,5.99,NPK_15-15-15,443.1,22.1,589.1,48.6,1563.2
Rice,2.93,89.1,18.7,39.8,5.87,NPK_15-15-15,166.3,23.3,374.6,74.6,1113.0
Vegetables,3.46,56.8,20.7,45.0,5.7,Ammonium Nitrate,211.4,26.9,271.3,58.0,700.7
Corn,2.57,97.2,41.2,59.0,5.43,Ammonium Nitrate,224.8,24.9,409.8,89.8,961.3
Vegetables,1.0,63.7,50.5,47.7,5.78,Organic,239.0,29.5,525.2,61.2,375.1
Wheat,1.47,55.8,40.2,99.5,6.28,NPK_15-15-15,211.5,21.9,583.6,59.2,419.7
Rice,3.26,21.4,31.6,61.0,6.47,Ammonium Nitrate,224.6,24.8,555.3,58.2,1522.6
Soybeans,2.06,77.6,25.5,82.8,6.21,None,0.0,25.3,1207.2,59.4,183.4
Wheat,2.26,59.3,51.7,75.3,4.75,NPK_15-15-15,274.3,24.8,532.5,72.3,506.0
Vegetables,2.81,77.4,66.1,70.3,7.5,Urea,256.1,30.2,1349.2,64.5,871.2
Vegetables,2.76,17.5,37.0,65.8,7.16,None,0.0,27.7,680.6,76.8,89.1
Rice,2.42,79.2,49.1,89.7,6.71,Ammonium Nitrate,201.4,16.6,1003.7,70.6,1643.9
Rice,2.03,14.2,40.2,48.5,7.74,NPK_15-15-15,229.3,22.9,1014.9,65.4,1409.0
Wheat,1.95,102.2,46.3,99.5,5.72,Urea,186.1,23.4,535.8,69.5,611.1
Vegetables,2.89,88.0,17.5,39.3,7.72,Ammonium Nitrate,128.8,34.7,735.2,79.4,632.6
Corn,2.64,68.0,27.7,80.6,5.72,Urea,345.4,21.8,674.0,72.9,995.2
Wheat,1.99,89.1,40.9,36.9,6.57,Organic,241.1,18.4,980.4,68.4,211.2
Wheat,3.07,50.5,53.2,58.7,5.51,NPK_15-15-15,182.4,25.8,804.9,70.1,312.9
Soybeans,2.1,76.8,22.7,66.9,6.41,Organic,59.3,26.1,588.1,51.2,84.3
Corn,1.52,94.9,5.0,55.3,6.67,Ammonium Nitrate,333.4,23.1,891.7,90.0,1414.2
Soybeans,1.59,10.0,27.5,61.4,6.29,NPK_15-15-15,37.0,22.4,968.9,71.3,210.8
Vegetables,1.42,63.8,50.2,37.3,6.9,NPK_15-15-15,103.5,28.4,1497.5,72.5,551.5
Corn,1.98,74.4,11.2,45.3,6.47,NPK_15-15-15,318.1,19.1,873.8,64.7,670.8
Corn,3.19,70.1,17.3,75.0,6.03,NPK_15-15-15,226.4,21.7,853.5,37.4,358.9
Vegetables,1.56,111.4,37.3,65.6,6.0,NPK_15-15-15,331.5,20.8,999.9,61.8,689.0
Corn,2.35,46.9,33.3,51.2,6.97,Urea,273.4,29.2,517.7,65.9,867.7
Vegetables,1.67,59.5,43.9,91.5,5.94,NPK_15-15-15,195.8,25.0,246.1,55.1,508.5
Wheat,1.99,27.1,16.6,40.6,7.04,Ammonium Nitrate,178.8,18.0,740.8,55.0,734.1
Corn,0.99,112.8,30.1,57.8,7.26,Ammonium Nitrate,310.8,18.5,1225.2,60.9,1278.1
Vegetables,2.02,68.8,52.9,54.9,5.23,Ammonium Nitrate,337.1,33.2,1281.7,74.3,1343.7
Rice,2.05,64.0,17.1,77.3,7.19,Urea,318.7,29.1,200.0,80.1,1882.3
Wheat,2.63,73.7,57.2,66.0,7.84,Urea,283.7,27.9,1083.1,67.1,877.3
Rice,2.38,90.9,19.0,62.8,6.58,Organic,259.4,23.6,200.0,58.2,1060.8
Wheat,1.24,83.7,47.7,28.1,6.82,Urea,254.0,31.3,1010.7,60.7,1009.0
Corn,3.07,141.2,29.4,82.3,7.13,Urea,369.2,17.8,989.8,66.2,1061.0
Rice,2.37,86.3,17.8,60.6,6.21,Organic,327.1,27.4,246.6,67.6,1051.2
Vegetables,2.36,63.4,27.5,67.3,6.53,Organic,156.2,21.2,1200.0,70.2,284.5
Rice,2.19,61.0,43.2,50.0,5.48,Organic,218.0,22.2,1460.3,59.7,1194.5
Wheat,1.79,65.2,34.9,46.9,6.5,Urea,276.0,27.3,828.1,71.4,906.1
Rice,2.37,37.5,51.8,95.0,6.75,Ammonium Nitrate,389.8,22.8,899.3,70.4,2204.6
Soybeans,2.58,76.0,56.5,29.5,6.76,None,0.0,21.2,1367.7,60.3,36.0
Corn,0.8,94.6,17.3,43.9,7.15,Ammonium Nitrate,231.0,20.9,455.8,44.4,1006.2
Vegetables,1.77,59.7,16.2,94.6,5.86,NPK_15-15-15,115.9,13.2,464.6,54.4,308.1
Wheat,2.0,54.8,15.4,77.8,6.03,Urea,228.6,27.5,556.2,83.8,668.5
Corn,2.4,112.9,21.5,58.5,7.73,Organic,388.4,18.3,863.0,44.7,362.8
Corn,3.15,39.3,51.6,89.9,6.29,Urea,402.4,33.2,862.0,80.8,1156.1
Corn,1.58,23.3,43.4,73.9,6.54,None,0.0,22.0,656.3,44.3,289.5
Wheat,1.8,46.2,26.8,69.7,6.35,Urea,137.4,30.3,744.8,55.7,497.0
Rice,1.79,36.5,34.8,69.5,5.82,Urea,270.1,14.1,661.2,60.5,1655.6
Soybeans,1.56,84.7,56.1,74.3,7.54,Ammonium Nitrate,48.8,27.3,677.9,86.4,364.7
Rice,1.92,66.0,63.6,75.1,6.03,NPK_15-15-15,309.1,28.6,581.0,65.3,1451.1
Corn,2.82,69.5,38.9,108.9,5.61,None,0.0,30.3,583.8,62.4,237.6
Wheat,1.36,103.8,5.0,61.1,6.08,Ammonium Nitrate,102.7,15.6,200.0,53.8,461.1
Soybeans,2.54,57.7,39.5,61.7,5.0,Organic,93.0,19.8,771.7,71.3,110.5
Corn,0.84,94.4,49.0,40.3,5.94,Urea,240.2,26.5,200.0,58.8,1007.7
Corn,1.75,112.8,38.4,64.0,5.72,Ammonium Nitrate,259.4,24.3,1112.7,62.3,1111.5
Corn,1.94,63.6,45.9,102.3,6.83,NPK_15-15-15,293.2,25.0,654.0,60.7,653.9
Soybeans,3.54,93.4,40.4,84.7,5.93,None,0.0,21.6,808.2,73.6,-35.6
Wheat,1.98,69.0,16.5,54.1,7.02,Ammonium Nitrate,116.5,31.6,719.4,74.1,569.7
Wheat,0.5,98.1,21.7,65.6,7.38,Ammonium Nitrate,166.6,37.1,764.6,54.3,917.7
Soybeans,0.6,35.7,30.2,39.1,6.95,None,0.0,24.0,1292.2,57.5,279.5
Soybeans,2.23,33.9,51.0,45.6,6.25,Organic,77.7,25.9,377.0,56.3,54.6
Wheat,2.69,65.2,23.5,68.0,6.5,Ammonium Nitrate,238.3,23.8,281.8,67.2,830.1
Vegetables,2.5,52.8,41.8,55.1,5.33,Urea,109.2,30.2,891.8,75.9,442.2
Corn,2.33,62.1,39.6,44.1,6.31,Urea,388.9,27.8,676.4,67.4,1175.6
Corn,3.13,69.5,58.8,74.8,5.8,Ammonium Nitrate,290.4,18.0,975.9,38.7,952.0
Rice,1.77,93.0,34.4,63.4,6.89,NPK_15-15-15,299.2,20.3,1100.8,74.1,1549.0
Corn,2.92,64.8,8.7,33.6,8.2,Ammonium Nitrate,446.2,18.3,462.8,48.8,1506.1
Wheat,0.89,54.4,44.7,23.5,6.75,Ammonium Nitrate,256.7,37.5,1061.2,56.4,1167.8
Vegetables,1.48,66.2,67.1,53.6,5.01,NPK_15-15-15,109.1,26.8,492.3,67.4,462.1
Corn,0.75,55.8,45.7,33.2,6.15,NPK_15-15-15,435.0,20.4,876.1,64.0,933.8
Corn,1.98,51.6,23.2,27.6,6.49,Urea,316.0,20.0,417.1,75.5,1014.8
Wheat,2.16,34.7,18.8,87.6,6.46,Ammonium Nitrate,299.4,27.7,896.3,57.7,1039.2
Vegetables,2.29,76.7,20.7,63.0,5.89,Organic,110.3,28.2,842.7,53.4,313.5
Rice,2.25,60.8,65.0,59.7,6.57,NPK_15-15-15,330.3,27.7,464.0,61.3,1453.9
Wheat,1.46,99.2,30.1,61.2,5.53,Urea,188.9,21.3,374.6,76.7,670.4
Corn,2.05,38.8,25.1,42.2,5.74,Urea,415.7,25.1,1112.7,72.6,1234.4
Corn,1.0,61.4,32.6,73.2,6.85,Urea,415.7,24.1,691.4,66.0,1332.2
Vegetables,3.29,120.3,30.2,62.4,5.69,Organic,118.2,18.6,1204.2,80.9,180.3
Vegetables,1.96,51.5,58.5,49.9,6.78,Organic,237.2,18.7,659.8,78.7,260.8
Corn,1.81,69.1,19.8,52.8,5.44,None,0.0,25.6,1305.8,74.5,421.9
Vegetables,3.47,44.6,52.7,40.5,7.64,Organic,273.6,24.5,518.1,50.9,123.5
Wheat,1.21,41.3,36.8,56.9,5.86,Organic,132.1,26.4,1365.5,74.4,357.2
Vegetables,1.3,113.7,53.1,60.2,6.24,NPK_15-15-15,310.7,27.6,911.0,62.6,704.5
Wheat,1.32,79.3,58.7,56.4,6.63,Urea,287.1,31.3,989.9,60.3,971.8
Wheat,2.15,78.3,36.3,66.1,6.0,NPK_15-15-15,187.9,19.5,498.6,56.8,351.2
Wheat,2.55,32.6,30.3,63.4,6.5,Urea,129.5,26.8,1105.2,62.9,475.1
Wheat,2.79,84.0,36.0,69.6,6.8,Urea,184.7,27.4,1117.4,57.5,553.7
Corn,4.26,103.9,33.6,83.9,7.07,NPK_15-15-15,323.6,21.9,736.4,67.0,377.9
Corn,0.5,103.7,10.1,76.9,6.95,Urea,266.1,24.1,200.0,62.9,1083.6
Rice,2.69,91.7,58.3,84.1,6.28,Urea,447.0,22.0,460.3,67.6,2014.0
Soybeans,1.75,46.8,38.7,48.0,6.3,Urea,31.2,34.5,460.3,71.6,288.6
Corn,1.73,82.8,17.6,54.8,8.04,NPK_15-15-15,320.6,24.0,1007.3,61.5,724.2
Wheat,1.7,91.7,5.0,78.1,7.06,Urea,298.5,25.8,687.2,56.2,909.3
Vegetables,1.47,30.1,5.0,78.4,5.75,NPK_15-15-15,173.8,22.1,694.0,40.9,428.8
Corn,3.55,47.0,46.6,51.4,6.47,NPK_15-15-15,220.5,21.0,651.8,74.2,355.0
Wheat,2.87,97.2,25.7,77.2,6.17,Ammonium Nitrate,267.9,16.7,1364.3,65.9,918.2
Rice,2.22,96.9,28.2,46.1,6.31,None,0.0,29.2,865.9,62.9,1082.7
Vegetables,3.28,36.3,42.3,74.6,5.54,NPK_15-15-15,134.5,27.5,919.2,79.1,329.2
Corn,0.99,94.9,27.3,64.5,6.11,Ammonium Nitrate,434.9,21.9,633.2,49.5,1613.3
Wheat,1.14,77.4,43.2,37.3,7.67,NPK_15-15-15,220.4,18.8,839.6,65.7,580.3
Soybeans,0.5,94.5,36.4,56.3,6.81,Organic,60.6,24.4,508.5,53.4,282.8
Vegetables,1.64,59.1,33.7,108.6,4.66,Organic,193.9,20.9,970.3,72.9,357.3
Wheat,2.33,91.1,11.4,69.1,7.25,Urea,196.2,22.3,448.7,38.3,589.1
Wheat,2.28,96.1,22.7,111.0,7.16,Ammonium Nitrate,194.0,16.9,1110.5,74.6,812.4
Wheat,2.32,66.2,44.0,36.1,6.15,Urea,167.2,24.6,592.8,74.2,598.6
Vegetables,1.07,75.4,24.8,80.0,6.9,Organic,200.1,24.7,1181.9,53.9,417.9
Wheat,2.84,58.8,53.1,14.3,5.8,None,0.0,29.2,1517.6,65.8,212.9
Corn,2.39,116.3,70.2,65.0,6.07,Ammonium Nitrate,278.8,22.7,850.4,54.2,1057.4
Vegetables,2.79,72.0,44.8,77.6,7.45,NPK_15-15-15,271.3,21.8,1309.1,70.1,487.6
Wheat,0.69,51.9,57.4,81.8,6.21,Urea,285.4,15.4,1113.0,74.8,1030.4
Wheat,2.45,57.1,45.8,49.0,5.09,Urea,105.7,29.2,348.5,52.9,406.8
Corn,1.25,78.2,27.0,85.8,6.36,Urea,343.8,28.1,888.8,49.4,1174.1
Wheat,1.88,93.8,38.0,54.3,6.34,NPK_15-15-15,134.0,23.6,1025.4,78.2,430.4
Rice,2.63,41.6,65.2,61.7,7.24,Ammonium Nitrate,193.2,16.6,1059.2,88.3,1617.3
Wheat,2.27,121.2,27.1,56.3,6.41,Ammonium Nitrate,103.6,17.2,912.4,70.9,525.8
Corn,1.52,82.7,19.4,42.3,6.1,Ammonium Nitrate,320.9,20.7,907.9,71.8,1225.0
Wheat,2.21,86.7,18.0,96.4,7.13,Urea,237.9,28.5,851.8,61.0,737.5
Vegetables,0.97,72.6,31.7,66.0,6.48,NPK_15-15-15,255.8,25.0,896.6,67.2,696.5
Corn,3.12,75.5,19.9,86.7,5.87,Ammonium Nitrate,374.9,15.7,421.7,69.2,1288.8
Vegetables,2.04,71.3,60.1,85.9,7.21,NPK_15-15-15,330.6,25.6,767.3,62.8,671.0
Rice,3.09,100.4,38.2,45.6,6.54,Organic,368.0,19.1,341.5,81.2,1002.6
Vegetables,1.78,74.8,49.6,89.3,6.4,Organic,330.8,20.8,675.8,67.1,361.0
Soybeans,1.78,94.2,30.5,75.1,6.52,NPK_15-15-15,99.4,28.6,643.2,68.7,214.5
Wheat,1.59,64.2,17.9,44.2,5.65,Urea,103.7,27.5,620.9,63.1,465.4
Soybeans,2.9,79.9,15.4,74.0,6.03,None,0.0,29.2,481.8,64.3,22.7
Vegetables,1.63,54.9,21.4,44.5,6.4,Ammonium Nitrate,246.0,23.4,944.2,79.6,1047.6
Rice,2.72,105.4,40.2,97.1,6.26,None,0.0,28.1,738.7,66.8,1016.7
Rice,1.89,54.2,42.8,81.3,7.29,Urea,230.8,20.5,702.9,67.0,1632.9
Wheat,0.62,66.9,44.0,63.6,6.55,Ammonium Nitrate,252.5,22.2,357.3,67.2,1108.2
Soybeans,1.74,67.1,12.7,90.3,7.0,None,0.0,21.8,745.7,60.6,100.6
Soybeans,1.26,66.2,35.0,33.4,6.41,None,0.0,23.6,1250.9,48.1,170.0
Soybeans,2.23,93.1,19.6,50.0,7.14,NPK_15-15-15,37.0,16.8,1256.3,83.9,151.1
Rice,1.25,67.1,41.0,60.0,6.68,NPK_15-15-15,364.6,22.3,980.7,77.8,1694.9
Soybeans,2.94,109.8,42.2,109.7,6.41,Organic,30.4,31.0,746.7,80.0,92.8
Corn,2.13,54.5,17.4,43.6,6.39,Urea,420.9,17.8,1045.6,52.1,1205.5
Wheat,2.06,79.2,49.5,30.9,5.73,Organic,103.0,16.6,616.4,82.3,242.0
Corn,2.72,55.6,70.1,36.1,6.75,Urea,285.8,17.0,745.3,88.6,818.6
Rice,2.97,85.5,47.5,83.1,6.37,None,0.0,37.3,590.1,77.5,1049.3
Rice,2.18,74.6,32.6,53.1,6.05,Organic,338.5,25.9,1167.9,84.8,1198.9
Rice,1.58,71.1,30.3,61.8,7.17,Urea,207.4,22.1,1123.0,74.6,1699.3
Wheat,0.78,104.7,31.9,80.3,5.52,Ammonium Nitrate,291.8,23.9,837.9,54.8,1147.1
Rice,1.65,58.6,23.6,61.8,6.1,Urea,387.4,24.7,1455.9,71.1,2129.9
Rice,1.71,89.7,38.8,69.1,7.12,Urea,302.4,20.2,994.4,52.8,1864.3
Corn,2.29,55.8,17.9,75.7,6.62,NPK_15-15-15,367.0,20.8,974.7,57.8,713.9
Rice,1.92,77.8,6.7,56.4,6.37,NPK_15-15-15,394.1,22.7,937.2,68.8,1517.7
Corn,2.75,45.1,38.3,61.7,6.58,Urea,278.3,19.7,408.2,67.2,883.8
Corn,1.71,58.4,35.3,69.8,6.53,NPK_15-15-15,190.4,21.4,537.0,70.6,462.1
Wheat,2.15,72.9,26.4,82.4,5.34,Ammonium Nitrate,284.1,25.3,830.9,43.5,968.2
Wheat,3.15,120.4,15.8,49.2,6.16,NPK_15-15-15,260.9,18.3,833.8,63.1,368.5
Wheat,2.47,77.5,39.3,10.0,7.53,Urea,277.5,37.1,1056.4,71.6,864.1
Wheat,2.15,116.4,20.1,78.6,5.94,Organic,232.7,27.4,616.2,74.0,205.8
Rice,1.72,80.5,32.9,83.6,6.18,Urea,297.0,16.9,874.7,74.8,1899.5
Vegetables,1.69,65.3,61.5,69.0,6.02,Organic,303.3,10.6,881.0,68.0,240.5
Wheat,1.52,113.5,44.8,70.4,6.34,Urea,165.2,19.9,894.9,60.4,576.7
Wheat,1.77,85.9,14.5,53.7,5.99,NPK_15-15-15,237.3,27.1,855.7,71.0,533.9
Corn,2.8,58.9,15.9,75.0,6.74,Ammonium Nitrate,293.5,26.1,358.7,61.4,1042.6
Rice,2.02,86.8,37.3,82.1,6.54,NPK_15-15-15,159.7,22.9,200.0,75.8,1206.9
Rice,1.12,67.7,14.4,66.1,6.94,Urea,321.9,20.4,520.4,70.1,1999.4
Rice,3.61,25.3,5.0,114.8,5.66,Urea,382.4,18.8,664.1,64.3,1783.0
Wheat,2.46,98.4,43.0,33.7,6.16,NPK_15-15-15,242.0,21.4,437.5,55.8,370.2
Wheat,1.07,102.4,39.8,68.3,6.24,Organic,128.2,18.2,830.5,78.4,335.2
Wheat,1.85,120.9,41.8,41.5,6.72,Urea,150.5,21.4,1231.5,71.7,553.7
Soybeans,2.29,85.6,38.9,82.6,5.84,None,0.0,30.4,1104.1,90.0,213.6
Soybeans,3.56,68.8,34.0,33.4,7.04,Organic,25.3,19.5,1013.2,71.3,-23.8
Soybeans,1.31,95.9,25.1,38.3,7.23,NPK_15-15-15,89.3,26.7,1194.9,72.3,347.3
Vegetables,2.98,96.2,42.7,52.3,5.71,NPK_15-15-15,232.1,27.5,526.4,47.4,393.6
Corn,3.32,116.0,57.9,70.3,6.06,None,0.0,17.9,690.1,68.7,121.6
Corn,1.7,73.9,27.5,53.1,6.03,NPK_15-15-15,228.1,19.1,1065.2,61.2,629.4
Corn,1.98,70.9,19.7,53.3,8.24,Ammonium Nitrate,311.2,29.1,683.9,74.9,1248.8
Wheat,1.37,57.1,18.0,61.4,6.1,NPK_15-15-15,129.8,18.7,703.1,69.0,379.1
Vegetables,2.04,88.4,22.0,60.2,7.57,NPK_15-15-15,259.1,23.2,1501.8,76.8,617.3
Corn,2.17,36.3,38.0,94.7,5.51,Organic,422.8,34.1,883.4,90.0,355.6
Vegetables,2.73,94.4,5.0,78.7,5.71,NPK_15-15-15,251.7,28.6,1467.3,55.4,531.9
Corn,3.07,89.7,41.6,58.5,5.92,NPK_15-15-15,381.0,23.9,211.8,76.4,594.8
Vegetables,1.6,89.6,44.7,106.9,5.81,Organic,324.0,27.9,629.2,73.2,392.3
Rice,0.63,78.5,8.0,74.8,6.21,NPK_15-15-15,152.8,23.2,993.1,88.8,1458.7
Corn,2.18,113.3,20.3,45.6,5.9,Urea,288.9,28.8,882.8,73.5,969.4
Wheat,2.43,96.8,36.2,70.1,5.83,NPK_15-15-15,161.4,12.9,200.0,72.2,287.0
Rice,2.4,59.8,32.8,75.7,7.21,Urea,270.1,22.8,769.6,75.2,1729.2
Rice,1.94,60.3,42.8,51.2,7.26,None,0.0,12.7,1715.6,76.1,1127.8
Rice,2.3,53.0,32.9,43.9,7.06,Urea,192.2,24.3,936.4,82.5,1575.5
Soybeans,3.41,88.8,54.0,66.7,6.77,Urea,23.7,22.3,1061.6,55.2,19.6
Wheat,2.51,50.0,30.2,57.8,6.46,Organic,291.0,30.6,624.6,60.3,181.4
Rice,1.9,102.1,20.3,94.6,6.05,Ammonium Nitrate,343.9,27.2,935.1,85.8,2201.4
Wheat,1.8,108.1,19.0,79.8,5.73,NPK_15-15-15,111.2,20.8,845.7,41.5,343.8
Soybeans,2.06,53.0,46.0,52.2,6.65,Organic,64.2,21.4,1241.6,64.0,94.3
Rice,3.51,70.4,35.4,73.5,5.58,NPK_15-15-15,368.0,25.5,1230.5,66.8,1382.7
Rice,2.05,75.4,44.5,90.3,5.7,Urea,423.0,20.5,992.6,62.9,2039.7
Corn,2.18,97.1,44.2,37.1,7.21,Ammonium Nitrate,404.2,23.3,874.8,84.0,1515.6
Corn,1.81,115.2,5.0,44.5,7.73,Urea,180.6,30.3,262.3,70.7,737.8
Wheat,3.08,32.9,17.9,64.8,6.68,Urea,285.4,19.2,250.1,60.4,686.5
Corn,3.77,67.0,19.7,65.7,7.17,Urea,340.9,21.2,878.7,57.4,905.7
Wheat,2.56,68.3,22.8,64.0,6.23,Ammonium Nitrate,185.9,21.9,1156.1,68.4,722.0
Soybeans,2.27,40.0,28.7,58.8,5.46,Organic,6.7,38.0,1316.1,79.0,182.2
Corn,2.23,62.9,50.0,58.5,6.83,Urea,197.0,26.7,538.6,66.7,732.2
Wheat,0.5,85.7,53.0,72.7,6.8,Urea,117.1,29.4,321.8,63.4,610.6
Rice,2.8,68.0,30.6,87.7,6.45,NPK_15-15-15,184.3,27.5,1176.5,56.7,1232.2
Vegetables,2.31,36.4,31.2,55.4,6.23,NPK_15-15-15,264.2,27.8,564.9,69.5,478.3
Wheat,2.54,146.9,24.4,113.8,7.07,Urea,282.1,26.0,298.0,68.8,803.1
Soybeans,1.63,81.7,36.3,104.2,5.71,Organic,96.3,25.4,677.2,56.3,196.8
Wheat,1.89,77.8,38.0,91.6,5.86,Urea,106.1,16.0,671.1,77.3,419.6
Corn,1.87,47.6,47.1,77.4,5.69,Ammonium Nitrate,268.8,25.4,1312.1,85.5,1134.1
Wheat,3.02,81.5,47.0,105.2,6.46,Ammonium Nitrate,194.7,22.9,1153.0,65.6,737.1
Vegetables,1.9,70.9,5.0,59.2,5.64,NPK_15-15-15,312.8,26.3,591.9,68.6,592.7
Wheat,3.87,27.8,32.7,48.3,5.92,Urea,199.9,23.1,1339.3,51.7,494.0
Soybeans,2.54,48.2,55.8,54.5,5.91,Organic,67.4,27.5,893.8,73.8,140.1
Vegetables,1.18,94.9,28.4,44.9,6.22,Urea,232.4,28.4,1221.3,70.6,946.7
Corn,2.1,123.6,52.1,67.4,5.36,Urea,442.9,10.0,1314.5,61.1,1334.5
Corn,1.68,84.2,30.4,71.0,6.46,NPK_15-15-15,221.8,21.2,758.1,56.1,570.0
Wheat,0.5,102.6,37.6,69.0,7.27,Ammonium Nitrate,256.7,13.8,1050.0,87.2,1090.5
Rice,3.48,71.1,17.9,64.8,6.49,Ammonium Nitrate,257.0,24.7,707.6,69.6,1730.4
Soybeans,2.76,72.8,18.5,67.7,7.48,Organic,36.7,21.9,1175.5,54.0,47.8
Vegetables,2.63,102.3,45.9,99.7,7.33,Urea,282.6,30.6,881.6,75.3,924.3
Rice,2.33,116.6,48.2,77.4,6.94,Ammonium Nitrate,230.6,24.6,1186.1,67.8,1781.4
Corn,1.09,107.5,35.4,83.5,6.45,Ammonium Nitrate,263.4,21.0,1383.7,65.7,1222.4
Soybeans,1.81,48.3,16.6,68.8,6.42,NPK_15-15-15,74.1,28.4,1041.5,76.7,277.7
Rice,2.87,73.3,35.7,32.7,6.93,NPK_15-15-15,337.7,21.8,817.3,33.6,1325.5
Soybeans,1.36,81.9,53.9,28.7,6.13,None,0.0,20.9,823.1,43.3,194.9
Rice,0.5,68.5,61.1,106.7,5.08,Urea,171.5,25.5,200.0,81.6,1633.2
Wheat,2.02,84.7,30.2,54.4,6.74,Ammonium Nitrate,151.2,31.9,600.5,63.5,705.2
Corn,2.09,95.5,10.1,52.7,5.61,NPK_15-15-15,276.7,27.9,1176.4,59.9,687.1
Wheat,2.31,100.1,47.6,69.9,5.73,NPK_15-15-15,210.6,26.4,1189.5,48.9,423.3
Wheat,2.78,117.1,30.9,76.0,6.4,NPK_15-15-15,266.5,37.8,592.9,67.3,473.9
Wheat,2.71,66.8,49.1,78.5,6.33,Urea,159.0,19.7,907.6,68.8,481.7
Corn,2.41,40.9,39.2,100.5,5.41,NPK_15-15-15,289.1,19.6,783.8,82.3,562.9
Soybeans,3.16,84.0,21.7,95.0,6.52,Organic,18.3,24.3,1091.4,69.5,27.3
Vegetables,0.98,122.1,35.9,48.8,7.08,NPK_15-15-15,166.2,31.4,1623.0,61.4,649.4
Corn,2.6,63.1,54.6,84.4,5.61,NPK_15-15-15,234.1,18.6,1098.0,69.9,557.8
Corn,2.7,92.2,32.8,57.3,7.29,Urea,205.7,32.6,615.4,78.3,744.6
