Crop_Type,Soil_Organic_Carbon,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint,Sustainability_Level,Carbon_Credits
Wheat,4.14,101.5,22.6,52.0,6.98,NPK_15-15-15,114.7,24.5,311.1,55.2,321.0,High,0.679
Rice,2.55,86.8,36.8,49.8,7.15,Urea,340.5,23.5,431.9,76.4,2626.3,Low,0.0
Wheat,1.1,75.3,41.8,60.4,4.95,Urea,215.6,20.9,865.3,56.5,1201.0,Low,0.0
Corn,1.75,50.5,38.1,68.4,6.38,Ammonium Nitrate,242.5,24.5,898.9,55.2,1157.4,Medium,0.0
Corn,3.02,93.5,41.9,58.7,7.19,Urea,407.7,28.9,1539.4,74.8,4682.9,Low,0.0
Corn,3.87,117.0,41.5,88.2,6.27,Urea,253.2,25.5,486.5,45.6,1271.9,Low,0.0
Corn,0.93,83.6,8.4,75.2,6.91,Ammonium Nitrate,400.8,22.9,863.8,40.1,1528.1,Low,0.0
Corn,0.7,122.9,44.6,33.2,6.65,Urea,441.8,28.3,479.2,60.7,2008.9,Low,0.0
Corn,3.7,36.9,24.9,75.5,6.64,Ammonium Nitrate,283.7,18.5,677.6,47.6,1231.5,Low,0.0
Wheat,2.51,46.1,18.6,77.1,6.21,Ammonium Nitrate,245.3,22.3,1439.4,48.1,1333.4,Low,0.0
Corn,1.51,96.4,18.4,56.3,5.55,Urea,320.6,22.5,452.3,71.9,1520.5,Low,0.0
Rice,2.63,81.6,41.5,35.1,5.61,NPK_15-15-15,311.8,17.1,1055.5,75.5,1815.1,Low,0.0
Vegetables,0.5,107.8,31.7,65.2,6.9,NPK_15-15-15,236.6,21.3,987.5,74.5,405.0,Medium,0.595
Wheat,2.2,74.6,9.8,64.8,6.41,Urea,182.0,12.7,841.5,78.3,889.6,Medium,0.11
Wheat,2.46,53.3,42.2,42.6,6.3,Ammonium Nitrate,256.0,33.4,1031.8,79.9,2320.8,Low,0.0
Corn,2.94,69.7,13.4,36.0,6.1,Ammonium Nitrate,308.0,18.6,444.0,39.5,1221.4,Low,0.0
Corn,1.39,36.7,37.1,63.2,6.19,None,0.0,31.7,1429.7,70.4,197.7,High,0.802
Corn,2.27,46.8,38.6,60.3,7.13,Urea,242.0,23.7,1523.7,58.6,1957.4,Low,0.0
Corn,1.46,99.3,48.3,56.7,6.17,Urea,248.6,26.4,866.5,56.0,1511.4,Low,0.0
Rice,2.4,96.8,61.7,63.3,5.46,Ammonium Nitrate,161.9,21.0,1698.1,71.7,2299.8,Low,0.0
Corn,1.48,84.1,14.5,42.9,6.92,Urea,268.0,24.6,710.3,44.2,1295.3,Low,0.0
Corn,1.87,32.0,34.2,56.3,6.26,Ammonium Nitrate,442.8,26.9,990.2,44.0,2309.6,Low,0.0
Corn,1.4,66.0,30.9,75.7,6.42,NPK_15-15-15,234.6,27.0,1351.2,72.6,822.4,Medium,0.178
Wheat,2.72,44.4,41.5,58.0,7.53,Ammonium Nitrate,106.0,27.5,689.3,70.9,666.6,Medium,0.333
Corn,2.89,104.4,38.2,31.6,6.39,Urea,421.8,21.6,366.5,66.6,1836.6,Low,0.0
Rice,2.01,60.4,29.7,55.5,6.6,Ammonium Nitrate,195.0,21.0,285.9,54.4,1823.0,Low,0.0
Wheat,2.23,47.9,28.4,43.6,5.57,Ammonium Nitrate,139.6,15.2,1571.3,73.9,864.6,Medium,0.135
Wheat,1.04,75.7,18.3,70.3,6.25,Ammonium Nitrate,197.6,26.2,664.8,73.2,862.5,Medium,0.138
Corn,1.96,59.0,49.8,71.4,6.83,Urea,461.1,29.1,785.0,66.0,3170.5,Low,0.0
Soybeans,2.16,112.1,41.9,31.8,5.31,Organic,101.1,31.9,460.5,50.9,38.8,High,0.961
Wheat,4.3,56.6,48.8,80.2,6.54,NPK_15-15-15,232.2,25.1,1181.9,59.9,648.4,Medium,0.352
Corn,1.31,40.0,30.3,42.8,6.47,Urea,180.7,19.5,576.5,75.1,863.5,Medium,0.136
Vegetables,3.37,21.2,25.1,96.2,6.43,NPK_15-15-15,189.0,14.7,678.1,80.9,478.4,Medium,0.522
Vegetables,3.0,74.2,18.8,64.0,7.13,Ammonium Nitrate,211.2,28.9,954.8,61.1,1329.1,Low,0.0
Corn,2.42,61.0,40.4,40.1,6.63,Ammonium Nitrate,468.5,14.2,477.6,62.0,1659.2,Low,0.0
Rice,3.61,39.3,19.4,42.2,7.43,Urea,312.8,21.7,787.5,63.1,2727.6,Low,0.0
Soybeans,2.5,104.7,62.7,72.0,5.7,None,0.0,22.3,1340.8,68.3,-34.4,High,1.034
Soybeans,2.51,91.7,15.4,57.2,6.5,Organic,17.1,23.1,999.9,58.0,-41.6,High,1.042
Corn,2.16,74.3,39.1,63.1,6.46,Urea,449.7,23.7,895.7,30.3,1948.4,Low,0.0
Corn,3.18,109.1,58.5,97.3,5.65,Urea,278.8,24.2,925.2,79.3,2060.0,Low,0.0
Rice,3.08,91.6,44.0,51.0,7.07,Ammonium Nitrate,404.1,10.9,713.8,86.5,2673.3,Low,0.0
Wheat,1.7,54.4,37.6,66.2,8.03,Organic,185.2,23.6,1548.7,57.7,98.5,High,0.902
Wheat,1.14,49.0,20.5,93.4,6.39,Organic,132.3,11.9,565.7,52.2,45.9,High,0.954
Rice,2.04,95.4,14.3,70.4,6.75,Urea,434.8,27.3,923.8,63.4,3946.6,Low,0.0
Wheat,1.56,84.9,46.6,32.9,6.46,Ammonium Nitrate,137.2,20.6,890.3,62.7,617.8,Medium,0.382
Soybeans,2.15,79.2,57.6,75.1,5.9,Organic,94.0,12.3,1203.1,76.9,-71.7,High,1.072
Corn,3.19,53.8,28.4,41.7,5.13,NPK_15-15-15,439.2,19.3,1236.1,65.7,1135.8,Medium,0.0
Rice,1.83,90.2,17.9,93.1,5.91,Ammonium Nitrate,410.1,20.5,838.8,55.5,2794.5,Low,0.0
Soybeans,2.17,56.1,5.0,48.5,5.43,Organic,72.8,29.7,951.7,49.2,31.3,High,0.969
Vegetables,2.25,72.5,20.3,124.4,7.59,Organic,206.4,24.5,965.0,75.4,225.5,High,0.774
Wheat,2.88,111.2,33.3,94.3,6.32,Urea,170.0,25.3,200.0,72.2,770.4,Medium,0.23
Wheat,0.5,58.5,59.0,49.1,6.16,Ammonium Nitrate,138.5,29.6,293.9,77.7,339.6,High,0.66
Corn,1.71,35.7,45.1,65.4,7.02,Urea,267.9,23.0,638.2,53.4,1278.0,Low,0.0
Rice,2.37,48.7,39.6,80.1,5.61,Urea,373.0,27.4,653.4,87.1,3586.0,Low,0.0
Wheat,3.16,99.9,29.0,80.7,5.86,Urea,124.8,27.1,430.3,44.1,589.0,Medium,0.411
Corn,1.81,81.4,26.3,73.8,6.45,Ammonium Nitrate,432.9,16.8,1112.4,73.5,2052.0,Low,0.0
Rice,0.7,71.8,56.1,90.0,7.12,Urea,220.1,31.2,850.7,42.1,2412.4,Low,0.0
Rice,2.7,62.3,38.0,62.5,6.75,Organic,265.6,16.1,774.9,55.5,1188.1,Medium,0.0
Corn,1.69,87.1,5.0,57.7,6.57,Organic,262.3,28.3,410.3,83.7,201.4,High,0.799
Rice,1.25,53.8,24.9,58.1,6.45,Urea,214.2,15.6,834.4,75.0,2083.5,Low,0.0
Corn,1.7,82.6,22.1,82.2,6.68,Urea,448.9,26.6,200.0,58.4,1855.0,Low,0.0
Rice,2.05,56.7,26.8,72.3,6.54,None,0.0,33.2,793.0,58.8,1197.8,Medium,0.0
Corn,1.72,52.6,43.4,70.8,5.68,None,0.0,22.4,872.1,66.2,266.2,High,0.734
Vegetables,0.5,59.1,33.4,80.9,6.43,Organic,311.7,22.2,934.7,71.2,10.6,High,0.989
Wheat,2.92,65.6,33.8,24.0,5.65,NPK_15-15-15,265.2,26.7,302.6,80.0,516.8,Medium,0.483
Wheat,3.22,73.8,54.7,71.2,6.46,Urea,177.6,21.8,928.7,59.5,1134.0,Medium,0.0
Soybeans,2.72,80.9,24.6,69.4,6.06,Organic,105.0,33.0,485.5,45.7,-0.8,High,1.001
Wheat,1.29,10.0,63.0,98.4,8.18,NPK_15-15-15,267.8,24.5,565.6,66.9,559.3,Medium,0.441
Corn,2.04,54.8,24.9,34.4,6.37,Urea,395.2,21.8,1101.3,59.5,2460.8,Low,0.0
Wheat,2.19,65.2,36.3,96.1,5.42,None,0.0,20.7,1554.9,49.4,185.9,High,0.814
Wheat,2.68,112.6,30.8,66.5,6.31,Urea,285.4,18.6,868.0,68.6,1418.7,Low,0.0
Soybeans,2.73,48.0,36.9,74.8,6.76,Organic,77.2,20.2,564.0,62.4,-29.0,High,1.029
Rice,1.61,79.1,41.7,98.5,7.57,NPK_15-15-15,272.9,21.7,916.0,68.7,1639.0,Low,0.0
Corn,2.27,112.4,41.5,76.2,5.99,Urea,338.2,21.0,1178.7,54.3,2001.8,Low,0.0
Rice,2.57,42.2,23.7,73.0,5.29,Urea,299.0,20.1,1067.3,70.8,2943.8,Low,0.0
Rice,3.36,84.8,18.2,69.8,6.97,Urea,428.4,34.4,1810.1,49.2,5994.2,Low,0.0
Wheat,2.76,54.9,72.5,55.3,5.43,Urea,191.9,18.1,599.6,55.1,912.7,Medium,0.087
Wheat,2.83,62.4,27.7,64.4,6.09,Organic,280.2,24.3,938.3,62.1,154.2,High,0.846
Rice,2.27,54.9,45.5,50.7,6.22,NPK_15-15-15,326.8,26.6,1392.1,85.9,2241.3,Low,0.0
Vegetables,3.33,56.7,10.9,64.1,6.35,NPK_15-15-15,191.7,26.8,1370.2,74.4,805.2,Medium,0.195
Wheat,2.53,143.0,30.8,18.3,6.88,Urea,257.2,23.2,200.0,77.9,1050.8,Medium,0.0
Corn,1.51,96.1,33.1,73.6,5.92,Urea,380.3,22.2,848.8,82.0,2372.3,Low,0.0
Corn,3.32,102.5,42.1,62.6,6.21,Urea,319.3,25.8,1369.6,90.0,3379.4,Low,0.0
Corn,2.76,87.3,5.0,58.3,6.39,Ammonium Nitrate,420.6,24.9,1861.7,65.5,3412.4,Low,0.0
Corn,1.85,34.8,37.5,69.4,6.5,Urea,299.6,22.2,1096.3,82.0,2262.8,Low,0.0
Corn,1.82,84.9,17.8,36.3,6.47,Urea,202.7,15.4,721.2,77.2,987.0,Medium,0.013
Corn,2.44,101.8,39.9,103.6,6.71,Ammonium Nitrate,236.7,21.1,496.8,77.0,1189.3,Medium,0.0
Rice,2.57,53.7,19.5,62.9,6.99,Urea,419.1,17.5,1626.6,86.3,4058.8,Low,0.0
Corn,2.36,99.1,22.2,62.1,6.67,Ammonium Nitrate,220.4,20.0,1105.1,60.0,1263.1,Low,0.0
Vegetables,2.45,92.6,30.9,45.7,6.72,Urea,130.0,23.7,553.2,59.0,737.0,Medium,0.263
Corn,3.56,121.3,19.2,65.5,5.29,Urea,380.5,25.4,778.9,68.8,2496.2,Low,0.0
Wheat,3.06,64.6,27.9,92.7,6.44,Ammonium Nitrate,128.9,32.8,958.6,62.8,981.3,Medium,0.019
Rice,2.35,47.6,17.1,85.7,6.74,Ammonium Nitrate,271.5,20.7,1040.3,68.8,2444.2,Low,0.0
Vegetables,2.95,66.0,7.5,82.1,6.91,NPK_15-15-15,300.4,27.5,535.1,83.8,765.6,Medium,0.234
Corn,1.37,110.9,50.3,75.9,5.92,Urea,224.1,25.1,635.0,59.3,1238.3,Low,0.0
Rice,2.52,29.3,15.6,57.8,5.94,NPK_15-15-15,213.6,30.2,271.5,61.3,1476.0,Low,0.0
Vegetables,3.65,23.3,32.3,36.0,6.0,NPK_15-15-15,276.6,26.5,1213.9,67.1,797.7,Medium,0.202
Vegetables,2.03,77.2,46.3,61.0,6.78,NPK_15-15-15,300.1,18.3,730.4,62.3,528.1,Medium,0.472
Soybeans,1.52,63.9,25.8,60.3,7.12,NPK_15-15-15,42.3,14.5,1013.2,42.0,-203.3,High,1.203
Rice,1.68,75.2,22.6,86.0,6.11,Urea,312.3,25.1,1347.8,58.0,3388.1,Low,0.0
Corn,1.33,98.6,38.4,71.2,7.04,Urea,386.7,20.8,927.0,73.2,2191.1,Low,0.0
Wheat,1.57,61.2,51.8,97.2,6.49,Urea,111.9,18.4,810.5,82.3,584.3,Medium,0.416
Vegetables,1.9,28.2,17.5,88.9,6.31,NPK_15-15-15,339.5,16.9,917.9,51.1,710.9,Medium,0.289
Wheat,1.08,126.1,32.7,55.9,6.25,NPK_15-15-15,298.8,24.3,872.1,51.1,515.9,Medium,0.484
Wheat,2.21,50.1,9.0,29.1,6.92,Ammonium Nitrate,109.3,31.3,1286.2,65.4,1024.2,Medium,0.0
Rice,2.92,48.5,29.1,92.7,6.63,Urea,352.7,21.4,958.8,40.1,2781.1,Low,0.0
Soybeans,1.47,102.6,35.5,92.2,7.99,NPK_15-15-15,36.0,26.6,659.5,59.7,25.3,High,0.975
Corn,3.42,65.4,22.2,37.7,5.8,Urea,322.5,23.0,1216.7,44.2,1910.3,Low,0.0
Rice,2.61,73.4,28.1,95.2,6.76,Urea,177.4,16.8,1280.7,81.4,2194.1,Low,0.0
Rice,3.02,87.1,13.9,72.6,6.03,Urea,255.4,27.3,381.6,55.8,2246.7,Low,0.0
Wheat,1.67,102.1,36.2,68.2,5.79,Ammonium Nitrate,249.8,17.8,1386.5,84.8,1392.2,Low,0.0
Corn,2.88,66.7,50.8,97.3,6.39,Urea,417.3,23.6,977.6,78.4,2926.1,Low,0.0
Corn,1.33,113.0,18.5,91.9,6.5,Urea,312.9,21.7,949.1,57.2,1582.0,Low,0.0
Wheat,2.91,21.6,25.7,78.0,8.44,Ammonium Nitrate,291.4,28.1,1202.3,52.1,1879.7,Low,0.0
Rice,2.34,94.0,42.5,74.5,6.27,Ammonium Nitrate,197.6,18.0,651.6,62.7,1937.3,Low,0.0
Wheat,2.64,54.0,53.2,77.3,5.61,Ammonium Nitrate,179.2,25.5,1184.0,63.7,1220.1,Low,0.0
Corn,1.26,109.3,12.6,57.0,6.59,Urea,239.1,19.1,718.1,69.2,1204.6,Low,0.0
Wheat,1.48,78.6,32.5,63.9,4.95,Ammonium Nitrate,130.0,20.8,333.8,55.7,682.4,Medium,0.318
Wheat,2.68,58.2,39.2,47.0,6.34,NPK_15-15-15,218.8,10.0,500.8,74.0,366.8,High,0.633
Corn,1.44,91.6,33.5,58.3,6.41,Urea,446.9,34.4,1048.5,68.2,4563.1,Low,0.0
Rice,2.57,97.3,5.0,57.7,6.96,Ammonium Nitrate,244.8,26.4,519.1,60.9,2172.6,Low,0.0
Corn,1.11,91.0,42.5,52.3,7.08,Urea,369.7,19.5,1413.5,56.5,2190.9,Low,0.0
Corn,2.88,49.3,57.8,67.7,6.05,Urea,452.3,17.7,1266.2,62.8,2588.5,Low,0.0
Vegetables,1.21,62.9,36.7,58.5,6.29,Urea,109.8,20.9,1316.7,55.2,760.6,Medium,0.239
Rice,2.64,74.9,19.5,75.0,5.86,Organic,439.5,27.2,893.7,65.7,1305.4,Low,0.0
Soybeans,2.7,74.0,27.3,32.6,5.61,Urea,85.9,13.7,940.3,66.0,463.5,Medium,0.536
Rice,1.64,93.7,61.5,62.7,6.62,Urea,360.4,22.8,432.2,68.1,2622.7,Low,0.0
Wheat,2.67,24.6,48.6,67.6,5.51,NPK_15-15-15,120.2,32.7,1198.5,86.2,612.2,Medium,0.388
Soybeans,2.41,83.4,44.6,58.8,6.11,NPK_15-15-15,2.9,17.6,982.9,63.4,-6.1,High,1.006
Wheat,1.77,67.8,40.3,61.6,5.7,Urea,105.9,23.9,1048.6,77.1,773.3,Medium,0.227
Wheat,1.39,54.0,25.1,33.3,6.78,NPK_15-15-15,159.7,35.0,1440.9,67.8,649.0,Medium,0.351
Rice,0.63,56.4,32.0,72.1,7.66,Ammonium Nitrate,386.4,26.8,637.9,62.1,2889.8,Low,0.0
Rice,2.48,69.6,33.8,78.0,5.49,Ammonium Nitrate,278.8,24.2,805.9,63.6,2559.7,Low,0.0
Vegetables,0.95,10.0,43.2,74.9,5.1,Urea,242.0,26.1,964.3,64.3,1716.9,Low,0.0
Soybeans,2.28,57.5,57.6,85.8,6.31,NPK_15-15-15,91.8,21.4,522.6,68.4,63.6,High,0.936
Vegetables,1.99,53.1,51.8,69.0,6.41,NPK_15-15-15,268.5,30.3,784.3,53.5,664.1,Medium,0.336
Corn,2.74,88.3,13.7,74.6,6.55,Ammonium Nitrate,365.0,21.4,1022.5,47.4,1664.8,Low,0.0
Soybeans,1.96,54.9,38.4,68.1,6.09,NPK_15-15-15,32.1,13.3,736.1,72.9,-33.4,High,1.033
Vegetables,1.94,69.6,46.1,78.8,6.26,Organic,103.2,21.5,1308.1,75.8,179.5,High,0.82
Corn,2.79,113.6,44.3,33.5,6.66,Urea,363.1,18.5,321.2,73.9,1425.4,Low,0.0
Corn,2.47,99.9,25.6,47.1,7.13,NPK_15-15-15,287.5,22.0,1243.0,66.9,763.7,Medium,0.236
Soybeans,2.45,97.6,78.7,96.7,5.03,Organic,66.9,22.2,1081.4,74.2,84.5,High,0.916
Wheat,2.58,62.5,15.8,15.8,6.14,Urea,224.4,29.7,650.9,73.6,1553.3,Low,0.0
Soybeans,0.97,88.6,18.8,62.2,6.55,None,0.0,27.1,526.5,74.5,-444.9,High,1.445
Corn,2.81,69.2,38.5,88.4,5.76,None,0.0,24.9,200.0,54.7,229.4,High,0.771
Soybeans,2.69,70.1,66.8,63.1,7.61,Urea,79.2,23.5,571.7,51.8,334.1,High,0.666
Corn,1.39,85.2,22.5,56.9,5.96,Urea,182.9,18.0,1216.5,60.3,1129.7,Medium,0.0
Corn,2.0,60.1,31.0,67.6,6.37,Ammonium Nitrate,216.7,12.2,830.4,64.8,954.3,Medium,0.046
Corn,2.17,112.3,51.2,57.9,6.79,Urea,258.4,24.1,1257.0,62.1,1897.8,Low,0.0
Soybeans,2.09,71.0,34.7,65.6,5.99,Organic,59.1,27.6,633.0,42.5,-15.8,High,1.016
Wheat,2.47,90.5,30.0,51.3,5.11,Ammonium Nitrate,210.5,22.9,1097.5,85.7,1430.3,Low,0.0
Wheat,3.35,111.4,43.5,87.2,6.1,Urea,227.1,20.7,598.9,61.7,1044.3,Medium,0.0
Rice,3.07,100.8,39.1,93.5,7.12,NPK_15-15-15,217.2,25.9,512.0,67.1,1565.1,Low,0.0
Vegetables,1.15,39.8,50.5,62.3,6.16,NPK_15-15-15,262.2,23.1,812.5,79.9,570.1,Medium,0.43
Rice,2.7,86.1,54.4,37.3,5.81,Ammonium Nitrate,259.7,32.3,617.3,36.9,2247.3,Low,0.0
Soybeans,3.26,96.3,39.6,54.5,7.05,Organic,3.4,29.9,310.0,58.9,-70.4,High,1.07
Rice,2.51,97.3,39.4,61.3,6.17,Urea,309.8,28.5,786.2,60.4,2996.2,Low,0.0
Rice,3.07,47.2,38.2,75.1,6.04,Urea,302.3,27.4,887.3,61.0,3137.4,Low,0.0
Wheat,3.81,58.6,42.3,44.8,6.5,NPK_15-15-15,251.8,16.8,1293.9,62.9,518.4,Medium,0.482
Rice,3.02,99.9,35.8,49.6,6.94,Urea,447.2,26.9,1177.9,82.4,5093.1,Low,0.0
Soybeans,2.4,56.0,35.0,75.2,8.07,Organic,43.6,25.5,1277.0,73.1,43.4,High,0.957
Wheat,3.04,67.5,52.9,83.8,6.98,Urea,214.6,26.7,1102.1,76.5,1842.8,Low,0.0
Corn,2.32,114.4,57.7,52.6,7.21,NPK_15-15-15,336.2,26.1,966.4,65.6,846.8,Medium,0.153
Vegetables,2.22,73.8,12.4,38.3,6.05,NPK_15-15-15,189.4,25.9,419.9,48.2,422.4,Medium,0.578
Rice,1.92,56.8,35.2,130.7,5.68,Urea,235.9,37.5,902.5,40.0,2562.8,Low,0.0
Wheat,3.45,53.1,24.7,80.7,6.44,NPK_15-15-15,171.8,23.1,1058.9,46.6,444.1,Medium,0.556
Vegetables,1.55,83.3,30.3,59.7,6.48,Ammonium Nitrate,192.4,28.4,1360.1,69.3,1509.7,Low,0.0
Wheat,3.43,41.7,41.0,82.4,5.65,NPK_15-15-15,247.7,21.1,1090.2,65.4,598.5,Medium,0.402
Corn,2.6,68.8,45.0,62.5,6.28,Urea,452.0,27.6,1284.1,62.5,3853.3,Low,0.0
Vegetables,1.08,83.3,33.3,82.3,6.68,Urea,112.4,28.4,488.8,60.6,532.7,Medium,0.467
Wheat,2.49,107.5,6.3,68.2,6.65,Urea,123.3,25.4,735.8,89.1,928.2,Medium,0.072
Rice,0.52,91.7,20.5,66.8,6.75,Urea,348.4,32.2,1000.3,55.1,3869.1,Low,0.0
Corn,2.7,57.1,48.4,62.7,6.6,Ammonium Nitrate,374.3,18.9,1256.3,76.1,2201.1,Low,0.0
Soybeans,2.91,104.5,5.0,36.1,6.05,Organic,90.8,21.0,799.2,65.0,-34.8,High,1.035
Wheat,1.73,67.5,52.8,103.8,6.04,Urea,224.5,24.6,821.1,64.3,1361.2,Low,0.0
Wheat,2.3,44.1,42.8,46.2,5.56,Ammonium Nitrate,288.7,28.1,1090.5,79.1,2168.1,Low,0.0
Vegetables,3.76,70.7,54.7,37.8,7.65,Ammonium Nitrate,114.7,24.4,455.9,82.6,678.9,Medium,0.321
Soybeans,1.8,111.0,32.0,60.7,6.41,Organic,88.8,30.2,1412.6,62.1,-170.7,High,1.171
Corn,1.35,79.1,5.0,45.8,6.24,Urea,351.3,20.1,542.3,74.6,1631.2,Low,0.0
Rice,3.39,75.3,41.5,64.0,5.75,Urea,438.0,17.6,200.0,69.4,2560.1,Low,0.0
Corn,3.77,115.9,54.1,78.8,8.45,Urea,200.3,25.1,853.5,65.1,1475.4,Low,0.0
Soybeans,2.2,39.2,48.9,84.9,5.65,Urea,51.3,23.1,1444.5,67.5,469.3,Medium,0.531
Corn,3.01,42.9,25.1,81.3,6.1,Urea,403.4,26.3,1055.3,56.7,2809.6,Low,0.0
Wheat,3.27,34.6,36.3,58.9,6.69,NPK_15-15-15,152.0,23.4,1112.9,61.3,511.4,Medium,0.489
Soybeans,1.61,84.3,27.0,66.0,6.82,Organic,5.1,21.7,864.5,58.0,-225.4,High,1.225
Vegetables,1.81,79.2,22.7,73.2,7.07,NPK_15-15-15,173.2,23.1,796.7,75.8,478.5,Medium,0.522
Rice,3.18,113.6,49.3,29.8,7.67,Urea,343.4,23.7,309.3,63.9,2367.4,Low,0.0
Soybeans,3.55,81.1,17.0,76.4,6.75,NPK_15-15-15,103.3,21.9,200.0,49.4,113.5,High,0.886
Corn,2.65,64.9,21.6,35.9,5.66,Ammonium Nitrate,393.2,22.4,918.7,56.3,2042.2,Low,0.0
Soybeans,1.5,75.0,18.4,105.8,6.22,None,0.0,21.4,1309.4,30.0,-204.2,High,1.204
Corn,3.79,77.9,12.6,56.9,6.62,Organic,345.5,28.0,970.4,59.1,368.5,High,0.632
Rice,1.78,33.2,37.2,61.3,7.85,Ammonium Nitrate,250.6,24.5,1068.3,65.5,2570.9,Low,0.0
Soybeans,1.93,142.8,52.4,49.6,5.42,None,0.0,35.2,1404.3,63.4,67.8,High,0.932
Corn,2.47,88.0,32.2,52.4,7.24,Ammonium Nitrate,459.9,24.3,965.1,88.8,2881.6,Low,0.0
Corn,3.44,80.3,12.4,110.5,6.53,Urea,273.1,20.6,807.1,71.9,1634.1,Low,0.0
Soybeans,2.88,90.4,47.6,83.8,6.99,Organic,96.7,37.4,563.5,71.4,-19.5,High,1.02
Soybeans,2.53,92.7,60.3,34.0,6.33,Ammonium Nitrate,54.7,25.7,1557.8,45.3,312.9,High,0.687
Wheat,2.57,71.5,25.3,95.1,5.81,Ammonium Nitrate,114.6,28.6,1034.3,60.6,760.7,Medium,0.239
Wheat,2.23,59.2,27.8,88.9,6.93,Ammonium Nitrate,202.7,26.6,519.7,59.2,926.7,Medium,0.073
Wheat,2.65,90.0,42.7,59.4,6.86,Urea,202.0,26.7,440.1,55.6,969.7,Medium,0.03
Rice,0.5,84.6,59.3,71.1,7.08,None,0.0,26.3,1288.6,55.4,1110.4,Medium,0.0
Rice,1.96,54.8,27.2,64.7,6.39,None,0.0,17.8,486.9,43.3,1160.2,Medium,0.0
Corn,2.39,110.5,15.0,104.5,5.98,Ammonium Nitrate,334.5,25.4,1498.8,49.7,2062.1,Low,0.0
Vegetables,1.28,82.3,44.5,49.1,5.31,NPK_15-15-15,349.3,16.6,200.0,75.5,509.5,Medium,0.49
Wheat,2.51,93.2,47.0,67.9,6.97,Urea,190.6,22.6,1347.9,63.3,1407.2,Low,0.0
Rice,2.04,109.8,35.1,56.4,6.7,Urea,254.8,19.7,1020.4,58.9,2447.5,Low,0.0
Wheat,3.6,75.5,26.6,36.3,5.72,Urea,248.8,25.4,891.5,64.9,1656.3,Low,0.0
Vegetables,3.46,82.9,49.9,108.8,6.02,NPK_15-15-15,243.0,25.2,788.6,79.0,657.4,Medium,0.343
Corn,1.83,95.3,42.9,41.4,6.07,Urea,424.5,26.0,1511.8,65.1,3836.7,Low,0.0
Wheat,2.08,56.9,23.5,69.4,5.36,Urea,166.7,25.0,1097.5,71.5,1330.7,Low,0.0
Wheat,2.14,76.4,35.7,30.2,5.83,NPK_15-15-15,281.6,20.3,533.9,54.8,484.6,Medium,0.515
Wheat,1.84,78.1,14.7,57.0,5.61,Urea,208.2,22.1,248.4,57.6,910.9,Medium,0.089
Corn,2.36,51.1,45.3,73.4,6.11,Ammonium Nitrate,442.3,28.3,912.1,69.2,2750.4,Low,0.0
Vegetables,1.59,132.9,31.1,48.5,5.88,Urea,206.1,29.1,849.6,87.7,1827.1,Low,0.0
Vegetables,1.3,39.8,28.5,76.7,5.26,Ammonium Nitrate,105.4,17.5,318.0,82.2,548.5,Medium,0.452
Wheat,2.7,42.5,34.5,59.6,7.82,Urea,295.3,15.5,830.6,72.0,1407.3,Low,0.0
Wheat,2.7,107.9,35.6,88.2,7.28,Urea,287.0,19.7,649.1,66.8,1385.6,Low,0.0
Vegetables,1.56,92.8,48.4,92.2,5.85,Ammonium Nitrate,332.8,28.9,853.3,81.8,2271.1,Low,0.0
Soybeans,2.92,49.4,43.9,53.3,6.59,Organic,13.6,29.8,1104.1,74.5,-24.6,High,1.025
Corn,1.69,90.2,32.7,66.5,6.69,Ammonium Nitrate,275.6,18.7,1372.4,37.5,1234.4,Low,0.0
Wheat,2.4,111.7,46.5,68.7,7.23,Ammonium Nitrate,188.0,25.1,1168.1,52.4,1104.1,Medium,0.0
Wheat,2.86,74.2,41.0,77.4,5.83,Ammonium Nitrate,232.8,33.0,597.5,69.1,1483.7,Low,0.0
Rice,2.17,140.0,28.6,65.3,7.16,NPK_15-15-15,248.8,25.7,979.1,43.6,1604.0,Low,0.0
Soybeans,2.56,31.9,33.1,68.8,6.02,None,0.0,30.9,872.1,54.2,41.3,High,0.959
Vegetables,1.79,92.3,32.8,60.1,5.46,Organic,110.2,28.7,383.8,56.6,248.5,High,0.752
Vegetables,2.04,104.2,42.6,67.3,6.91,Urea,206.3,18.8,989.4,61.9,1053.8,Medium,0.0
Wheat,2.04,97.3,29.5,91.0,7.3,Ammonium Nitrate,155.6,22.5,1499.8,61.6,939.5,Medium,0.06
Corn,1.6,69.9,29.1,77.9,8.21,Urea,383.5,23.7,861.3,61.5,2316.2,Low,0.0
Vegetables,2.06,67.7,64.5,79.0,5.56,NPK_15-15-15,141.8,24.0,292.0,74.9,369.7,High,0.63
Soybeans,0.96,86.1,49.1,79.5,6.89,None,0.0,28.3,860.6,61.8,-435.2,High,1.435
Corn,1.81,95.4,23.6,61.9,6.11,Ammonium Nitrate,288.8,25.6,425.2,60.4,1301.8,Low,0.0
Vegetables,1.97,90.1,43.6,71.4,6.95,NPK_15-15-15,128.2,10.0,1152.3,48.8,297.7,High,0.702
Vegetables,2.0,101.0,36.8,43.3,5.37,NPK_15-15-15,142.2,16.7,1033.7,77.3,457.6,Medium,0.542
